Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,17.875,18.0,17.875,17.875,1.131403923034668,90000
1980-01-03,17.875,18.0,17.75,18.0,1.1393160820007324,61000
1980-01-04,18.0,18.25,17.875,18.0,1.1393160820007324,81600
1980-01-07,18.0,18.25,18.0,18.25,1.1551395654678345,53200
1980-01-08,18.25,18.625,18.125,18.625,1.1788760423660278,52200
1980-01-09,18.625,19.0,18.5,18.75,1.1867870092391968,86700
1980-01-10,18.75,18.875,18.625,18.625,1.1788760423660278,65200
1980-01-11,18.625,18.75,18.375,18.5,1.1709645986557007,73000
1980-01-14,18.5,18.625,18.375,18.625,1.1788760423660278,55800
1980-01-15,18.625,18.75,18.5,18.625,1.1788760423660278,120300
1980-01-16,18.625,18.75,18.375,18.5,1.1709645986557007,81500
1980-01-17,18.5,18.625,18.375,18.375,1.1630522012710571,48800
1980-01-18,18.375,18.5,18.125,18.125,1.1472281217575073,90100
1980-01-21,18.125,18.25,18.125,18.125,1.1472281217575073,60100
1980-01-22,18.125,18.375,18.125,18.375,1.1630522012710571,78500
1980-01-23,18.375,18.5,18.375,18.375,1.1630522012710571,41000
1980-01-24,18.375,18.5,18.375,18.375,1.1630522012710571,50300
1980-01-25,18.375,18.625,18.25,18.25,1.1551395654678345,75700
1980-01-28,18.25,18.5,18.25,18.375,1.1630522012710571,72600
1980-01-29,18.375,18.5,18.25,18.25,1.1551395654678345,51700
1980-01-30,18.25,18.5,18.25,18.375,1.1630522012710571,62100
1980-01-31,18.375,18.375,18.25,18.25,1.1551395654678345,55700
1980-02-01,18.25,18.5,18.25,18.5,1.1709645986557007,223200
1980-02-04,18.5,18.625,18.375,18.625,1.1788760423660278,102800
1980-02-05,18.0,18.0,17.75,17.75,1.1579992771148682,171500
1980-02-06,17.75,17.875,17.75,17.75,1.1579992771148682,56100
1980-02-07,17.75,17.875,17.625,17.625,1.1498438119888306,89600
1980-02-08,17.625,17.75,17.5,17.625,1.1498438119888306,145200
1980-02-11,17.625,17.75,17.5,17.5,1.141689658164978,68700
1980-02-12,17.5,17.625,17.375,17.5,1.141689658164978,95500
1980-02-13,17.5,17.625,17.375,17.375,1.1335340738296509,71200
1980-02-14,17.375,17.5,17.125,17.25,1.1253798007965088,81100
1980-02-15,17.25,17.25,17.0,17.125,1.1172244548797607,92400
1980-02-19,17.0,17.0,16.625,16.75,1.092759609222412,101500
1980-02-20,16.75,17.0,16.625,16.875,1.1009141206741333,75300
1980-02-21,16.875,17.0,16.75,16.75,1.092759609222412,51400
1980-02-22,16.75,16.75,16.375,16.5,1.076450228691101,126100
1980-02-25,16.5,16.5,16.125,16.375,1.0682951211929321,76700
1980-02-26,16.375,16.5,16.125,16.125,1.0519850254058838,65200
1980-02-27,16.125,16.375,16.125,16.125,1.0519850254058838,103700
1980-02-28,16.125,16.25,16.0,16.25,1.0601398944854736,69500
1980-02-29,16.25,16.625,16.125,16.625,1.0846052169799805,112600
1980-03-03,16.625,16.625,16.375,16.5,1.076450228691101,69500
1980-03-04,16.375,16.375,16.0,16.25,1.0601398944854736,63300
1980-03-05,16.25,16.375,16.0,16.125,1.0519850254058838,77300
1980-03-06,16.125,16.25,16.0,16.0,1.0438307523727417,89500
1980-03-07,16.0,16.375,16.0,16.0,1.0438307523727417,79700
1980-03-10,16.0,16.375,16.0,16.25,1.0601398944854736,136700
1980-03-11,16.25,16.5,16.25,16.375,1.0682951211929321,109800
1980-03-12,16.375,16.625,16.25,16.375,1.0682951211929321,69000
1980-03-13,16.375,16.5,16.25,16.25,1.0601398944854736,34000
1980-03-14,16.25,16.625,16.25,16.5,1.076450228691101,60800
1980-03-17,16.5,16.5,16.25,16.25,1.0601398944854736,59000
1980-03-18,16.25,16.375,16.25,16.375,1.0682951211929321,59100
1980-03-19,16.375,16.5,16.25,16.375,1.0682951211929321,64000
1980-03-20,16.375,16.375,16.25,16.25,1.0601398944854736,58300
1980-03-21,16.25,16.375,16.125,16.25,1.0601398944854736,69600
