Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,0.0,2.265625,2.21875,2.21875,0.9041652679443359,245600
1980-01-03,0.0,2.203125,2.140625,2.140625,0.8723292946815491,16800
1980-01-04,0.0,2.203125,2.140625,2.1875,0.8914304375648499,28000
1980-01-07,0.0,2.1875,2.171875,2.171875,0.8850639462471008,42400
1980-01-08,0.0,2.171875,2.125,2.140625,0.8723292946815491,1060800
1980-01-09,0.0,2.171875,2.125,2.15625,0.8786956071853638,1001600
1980-01-10,0.0,2.21875,2.140625,2.21875,0.9041652679443359,173600
1980-01-11,0.0,2.34375,2.25,2.25,0.9169004559516907,169600
1980-01-14,0.0,2.328125,2.265625,2.3125,0.9423702955245972,183200
1980-01-15,0.0,2.421875,2.3125,2.421875,0.9869409799575806,787200
1980-01-16,0.0,2.53125,2.4375,2.46875,1.0060434341430664,381600
1980-01-17,0.0,2.53125,2.5,2.5,1.0187779664993286,192800
1980-01-18,0.0,2.5,2.46875,2.46875,1.0060434341430664,19200
1980-01-21,0.0,2.53125,2.46875,2.5,1.0187779664993286,456800
1980-01-22,0.0,2.546875,2.484375,2.484375,1.0124105215072632,74400
1980-01-23,0.0,2.578125,2.515625,2.5625,1.0442477464675903,30400
1980-01-24,0.0,2.625,2.578125,2.59375,1.0569814443588257,62400
1980-01-25,0.0,2.609375,2.515625,2.515625,1.0251449346542358,36000
1980-01-28,0.0,2.5625,2.484375,2.53125,1.03151273727417,49600
1980-01-29,0.0,2.59375,2.53125,2.546875,1.0378806591033936,104000
1980-01-30,0.0,2.5625,2.484375,2.484375,1.0124105215072632,85600
1980-01-31,0.0,2.5,2.453125,2.5,1.0187779664993286,137600
1980-02-01,0.0,2.5625,2.5,2.5625,1.0442477464675903,135200
1980-02-04,0.0,2.625,2.578125,2.625,1.0697170495986938,74400
1980-02-05,0.0,2.84375,2.640625,2.75,1.120656132698059,184000
1980-02-06,0.0,2.890625,2.75,2.84375,1.1588598489761353,304800
1980-02-07,0.0,2.875,2.8125,2.8125,1.1461261510849,178400
1980-02-08,0.0,2.875,2.8125,2.84375,1.1588598489761353,165600
1980-02-11,0.0,2.875,2.84375,2.84375,1.1588598489761353,127200
1980-02-12,0.0,2.859375,2.8125,2.859375,1.1652275323867798,111200
1980-02-13,0.0,2.875,2.84375,2.859375,1.1652275323867798,37600
1980-02-14,0.0,2.859375,2.828125,2.828125,1.1524931192398071,136800
1980-02-15,0.0,2.8125,2.71875,2.71875,1.1079214811325073,73600
1980-02-19,0.0,2.703125,2.6875,2.703125,1.1015543937683105,37600
1980-02-20,0.0,2.75,2.71875,2.734375,1.1142890453338623,71200
1980-02-21,0.0,2.78125,2.75,2.75,1.120656132698059,72000
1980-02-22,0.0,2.71875,2.6875,2.6875,1.095186471939087,113600
1980-02-25,0.0,2.65625,2.546875,2.546875,1.0378806591033936,114400
1980-02-26,0.0,2.5625,2.546875,2.5625,1.0442477464675903,127200
1980-02-27,0.0,2.546875,2.484375,2.484375,1.0124105215072632,500000
1980-02-28,0.0,2.453125,2.421875,2.421875,0.9869409799575806,8000
1980-02-29,0.0,2.46875,2.421875,2.46875,1.0060434341430664,60800
1980-03-03,0.0,2.46875,2.40625,2.40625,0.9805743098258972,1736000
1980-03-04,0.0,2.4375,2.390625,2.4375,0.9933083653450012,16000
1980-03-05,0.0,2.46875,2.40625,2.40625,0.9805743098258972,92800
1980-03-06,0.0,2.375,2.328125,2.328125,0.9487369656562805,278400
1980-03-07,0.0,2.40625,2.328125,2.375,0.9678394794464111,22400
1980-03-10,0.0,2.34375,2.328125,2.34375,0.9551041126251221,56000
1980-03-11,0.0,2.40625,2.328125,2.359375,0.9614720344543457,33600
1980-03-12,0.0,2.40625,2.34375,2.34375,0.9551041126251221,16000
1980-03-13,0.0,2.375,2.34375,2.34375,0.9551041126251221,80800
1980-03-14,0.0,2.3125,2.3125,2.3125,0.9423702955245972,28800
1980-03-17,0.0,2.359375,2.3125,2.34375,0.9551041126251221,21600
1980-03-18,0.0,2.375,2.328125,2.375,0.9678394794464111,15200
1980-03-19,0.0,2.375,2.3125,2.328125,0.9487369656562805,91200
1980-03-20,0.0,2.34375,2.328125,2.34375,0.9551041126251221,64800
1980-03-21,0.0,2.34375,2.3125,2.3125,0.9423702955245972,32000
