Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,0.0,1.71875,1.6875,1.6875,0.569645881652832,36000
1980-01-03,0.0,1.6875,1.671875,1.671875,0.5643712282180786,31200
1980-01-04,0.0,1.671875,1.640625,1.671875,0.5643712282180786,35200
1980-01-07,0.0,1.703125,1.65625,1.6875,0.569645881652832,260000
1980-01-08,0.0,1.703125,1.65625,1.671875,0.5643712282180786,160800
1980-01-09,0.0,1.75,1.703125,1.75,0.5907441973686218,176800
1980-01-10,0.0,1.75,1.703125,1.71875,0.5801946520805359,774400
1980-01-11,0.0,1.734375,1.71875,1.71875,0.5801946520805359,40000
1980-01-14,0.0,1.734375,1.71875,1.71875,0.5801946520805359,27200
1980-01-15,0.0,1.734375,1.71875,1.734375,0.5854700207710266,60000
1980-01-16,0.0,1.78125,1.71875,1.765625,0.5960186719894409,235200
1980-01-17,0.0,1.78125,1.765625,1.765625,0.5960186719894409,58400
1980-01-18,0.0,1.78125,1.765625,1.78125,0.6012930870056152,188800
1980-01-21,0.0,1.875,1.796875,1.875,0.632939875125885,301600
1980-01-22,0.0,1.921875,1.859375,1.890625,0.6382145881652832,304000
1980-01-23,0.0,1.890625,1.875,1.875,0.632939875125885,212000
1980-01-24,0.0,1.875,1.75,1.765625,0.5960186719894409,1179200
1980-01-25,0.0,1.78125,1.71875,1.75,0.5907441973686218,1677600
1980-01-28,0.0,1.765625,1.734375,1.75,0.5907441973686218,40000
1980-01-29,0.0,1.765625,1.734375,1.765625,0.5960186719894409,100000
1980-01-30,0.0,1.765625,1.71875,1.71875,0.5801946520805359,37600
1980-01-31,0.0,1.765625,1.734375,1.75,0.5907441973686218,377600
1980-02-01,0.0,1.734375,1.6875,1.6875,0.569645881652832,39200
1980-02-04,0.0,1.71875,1.671875,1.671875,0.5643712282180786,500000
1980-02-05,0.0,1.6875,1.65625,1.65625,0.5590968728065491,96800
1980-02-06,0.0,1.6875,1.640625,1.640625,0.55382239818573,308000
1980-02-07,0.0,1.71875,1.65625,1.703125,0.5749203562736511,100800
1980-02-08,0.0,1.703125,1.6875,1.6875,0.569645881652832,13600
1980-02-11,0.0,1.671875,1.640625,1.640625,0.55382239818573,90400
1980-02-12,0.0,1.6875,1.640625,1.6875,0.569645881652832,21600
1980-02-13,0.0,1.671875,1.65625,1.65625,0.5590968728065491,81600
