Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.734375,6.734375,6.625,6.65625,2.424133777618408,1182400
1980-01-03,6.640625,6.640625,6.578125,6.59375,2.4013702869415283,568800
1980-01-04,6.59375,6.6875,6.59375,6.6875,2.435514450073242,541600
1980-01-07,6.6875,6.6875,6.640625,6.65625,2.424133777618408,474400
1980-01-08,6.65625,6.71875,6.625,6.71875,2.446894884109497,280800
1980-01-09,6.8125,6.90625,6.8125,6.90625,2.5151820182800293,861600
1980-01-10,6.90625,6.90625,6.84375,6.859375,2.4981093406677246,1992800
1980-01-11,6.859375,6.890625,6.78125,6.78125,2.469656229019165,1052000
1980-01-14,6.8125,6.859375,6.8125,6.84375,2.4924190044403076,592800
1980-01-15,6.84375,6.84375,6.78125,6.84375,2.4924190044403076,366400
1980-01-16,6.859375,7.015625,6.859375,6.9375,2.526561975479126,1264000
1980-01-17,6.9375,6.9375,6.890625,6.90625,2.5151820182800293,432800
1980-01-18,6.90625,6.90625,6.6875,6.796875,2.4753458499908447,2036800
1980-01-21,6.796875,6.9375,6.75,6.84375,2.4924190044403076,718400
1980-01-22,6.84375,6.90625,6.796875,6.84375,2.4924190044403076,1158400
1980-01-23,6.84375,6.921875,6.78125,6.921875,2.520871162414551,797600
1980-01-24,6.984375,7.125,6.984375,7.078125,2.5777759552001953,1102400
1980-01-25,7.078125,7.140625,7.046875,7.125,2.59484601020813,1219200
1980-01-28,7.125,7.140625,7.078125,7.125,2.59484601020813,509600
1980-01-29,7.125,7.171875,7.078125,7.09375,2.583466053009033,950400
1980-01-30,7.09375,7.171875,7.09375,7.15625,2.606227159500122,807200
1980-01-31,7.15625,7.28125,7.09375,7.09375,2.583466053009033,978400
1980-02-01,7.09375,7.109375,7.0625,7.078125,2.5777759552001953,667200
1980-02-04,7.078125,7.109375,7.0625,7.0625,2.572084426879883,553600
1980-02-05,7.0625,7.0625,6.984375,7.0,2.5493242740631104,806400
1980-02-06,6.984375,6.984375,6.84375,6.84375,2.4924190044403076,984000
1980-02-07,6.84375,6.859375,6.78125,6.8125,2.481038808822632,1110400
1980-02-08,6.8125,6.90625,6.78125,6.890625,2.509490728378296,718400
1980-02-11,6.890625,6.921875,6.8125,6.859375,2.4981093406677246,1598400
1980-02-12,6.859375,6.9375,6.84375,6.921875,2.520871162414551,651200
1980-02-13,7.0,7.171875,7.0,7.125,2.59484601020813,1167200
1980-02-14,7.125,7.171875,7.0625,7.09375,2.583466053009033,772800
1980-02-15,7.09375,7.09375,7.046875,7.0625,2.572084426879883,830400
1980-02-19,7.046875,7.046875,6.953125,6.96875,2.5379416942596436,549600
1980-02-20,6.96875,7.0,6.921875,6.96875,2.5379416942596436,457600
1980-02-21,6.96875,7.09375,6.8125,6.8125,2.481038808822632,839200
1980-02-22,6.8125,6.828125,6.71875,6.8125,2.481038808822632,714400
1980-02-25,6.796875,6.796875,6.734375,6.765625,2.4639668464660645,416000
1980-02-26,6.765625,6.78125,6.71875,6.75,2.4582741260528564,847200
1980-02-27,6.75,6.75,6.5,6.5,2.367227792739868,1144800
1980-02-28,6.5,6.578125,6.5,6.5625,2.3899900913238525,375200
1980-02-29,6.5625,6.65625,6.546875,6.65625,2.424133777618408,418400
1980-03-03,6.65625,6.65625,6.4375,6.4375,2.344468116760254,1962400
1980-03-04,6.4375,6.453125,6.34375,6.375,2.321704149246216,821600
1980-03-05,6.375,6.375,6.234375,6.234375,2.270491123199463,1199200
1980-03-06,6.234375,6.296875,6.1875,6.265625,2.2818708419799805,1168800
1980-03-07,6.234375,6.234375,6.125,6.140625,2.2363474369049072,2760000
1980-03-10,6.140625,6.21875,6.09375,6.125,2.230656623840332,1389600
1980-03-11,6.125,6.203125,6.125,6.203125,2.259110927581787,1225600
