Date,Open,High,Low,Close,Adj Close,Volume
1998-08-18,12.875,13.125,12.875,13.0,8.706795692443848,5783000
1998-08-19,13.0,13.25,13.0,13.0,8.706795692443848,388700
1998-08-20,13.125,13.25,13.0,13.0,8.706795692443848,348500
1998-08-21,13.0,13.0,13.0,13.0,8.706795692443848,804000
1998-08-24,13.0,13.0,13.0,13.0,8.706795692443848,119700
1998-08-25,13.0,13.0,12.875,13.0,8.706795692443848,294100
1998-08-26,13.0,13.0,12.125,12.25,8.20448112487793,383800
1998-08-27,12.25,12.375,10.75,11.125,7.451005458831787,435300
1998-08-28,11.375,11.375,10.0,10.0,6.69753360748291,192400
1998-08-31,10.0,10.125,7.625,8.125,5.441746234893799,150800
1998-09-01,8.25,9.0,6.6875,8.5,5.692903995513916,440700
1998-09-02,8.5,10.5,8.5,9.5625,6.404518127441406,509200
1998-09-03,9.75,9.75,8.5,8.75,5.860342025756836,165900
1998-09-04,9.0,9.0,8.125,8.375,5.6091837882995605,155700
1998-09-08,9.0,10.0,8.75,9.875,6.6138153076171875,149300
1998-09-09,9.875,10.0,9.5,9.5,6.3626556396484375,116900
1998-09-10,9.375,9.375,9.0,9.25,6.195218086242676,80700
1998-09-11,9.3125,9.375,9.0,9.0,6.027780055999756,84800
1998-09-14,9.25,9.625,9.0,9.0,6.027780055999756,90800
1998-09-15,9.125,9.25,8.625,8.75,5.860342025756836,200400
1998-09-16,8.75,8.75,7.75,7.875,5.274309158325195,221300
1998-09-17,7.875,8.625,7.875,8.28125,5.546395301818848,87300
1998-09-18,8.375,8.6875,7.75,8.25,5.525462627410889,147300
1998-09-21,7.875,8.0,6.875,7.0,4.688274383544922,472900
1998-09-22,7.125,8.125,7.0625,8.0,5.35802698135376,728300
1998-09-23,8.25,8.625,8.0,8.375,5.6091837882995605,382500
1998-09-24,8.5,9.375,8.5,9.0625,6.069638729095459,280800
1998-09-25,8.75,9.4375,8.75,9.375,6.278937816619873,44400
1998-09-28,9.5,9.875,9.375,9.375,6.278937816619873,26500
1998-09-29,9.5,9.75,9.25,9.53125,6.383586406707764,88300
1998-09-30,9.5,10.0625,9.375,9.625,6.446376323699951,172300
1998-10-01,9.625,9.625,8.875,8.875,5.944061279296875,85500
1998-10-02,8.875,9.25,8.875,8.875,5.944061279296875,58700
1998-10-05,8.75,8.875,8.0,8.0,5.35802698135376,63000
1998-10-06,9.0,9.125,8.0,8.375,5.6091837882995605,129500
1998-10-07,8.375,8.625,7.8125,7.8125,5.232448101043701,340400
1998-10-08,7.75,7.8125,6.0,6.3125,4.227819919586182,346800
1998-10-09,7.0,7.125,6.125,6.25,4.185959339141846,271500
1998-10-12,6.5,6.5,6.0,6.25,4.185959339141846,660400
1998-10-13,6.25,7.5,6.25,7.0,4.688274383544922,228600
1998-10-14,6.875,7.625,6.875,7.625,5.106869220733643,46400
1998-10-15,7.5,7.625,7.375,7.5625,5.0650105476379395,44100
1998-10-16,7.8125,8.375,7.5,7.875,5.274309158325195,421600
1998-10-19,8.125,8.5625,8.0,8.5625,5.734764575958252,50600
1998-10-20,8.625,9.5,8.5,9.375,6.278937816619873,354800
1998-10-21,9.4375,10.375,9.4375,10.0,6.69753360748291,156000
1998-10-22,10.125,11.5,10.0,11.4375,7.660303592681885,134600
1998-10-23,11.625,13.125,11.375,13.0,8.706795692443848,411400
1998-10-26,13.0,13.0,12.625,12.75,8.53935432434082,125500
1998-10-27,12.875,13.375,12.375,12.4375,8.330059051513672,417500
1998-10-28,12.375,12.75,12.25,12.75,8.53935432434082,53000
1998-10-29,12.625,13.0625,11.75,12.0,8.037041664123535,280000
1998-10-30,12.0,12.875,11.875,12.875,8.623076438903809,198600
1998-11-02,12.9375,13.3125,12.625,12.875,8.623076438903809,105900
1998-11-03,12.8125,12.875,12.625,12.75,8.53935432434082,24900
1998-11-04,12.875,12.875,12.25,12.5,8.371918678283691,105800
1998-11-05,12.5,13.25,12.3125,13.25,8.874232292175293,81800
1998-11-06,13.25,13.3125,12.875,13.25,8.874232292175293,55600
1998-11-09,12.875,13.3125,12.75,13.25,8.874232292175293,84200
1998-11-10,13.25,13.3125,12.875,13.0,8.706795692443848,22600
1998-11-11,12.875,13.125,12.625,12.75,8.53935432434082,22200
1998-11-12,12.75,12.75,12.25,12.5,8.371918678283691,23700
1998-11-13,12.5625,12.5625,10.5,11.8125,7.911461353302002,96600
1998-11-16,11.6875,12.25,11.25,11.5,7.7021636962890625,70500
1998-11-17,11.75,12.0,11.125,11.75,7.869603633880615,188500
1998-11-18,11.5,12.0,11.5,11.9375,7.995179653167725,22500
1998-11-19,12.0,12.0,10.75,10.875,7.283567428588867,41700
1998-11-20,11.0,11.0,9.875,10.625,7.116129398345947,148500
1998-11-23,10.75,12.5,10.75,11.625,7.785884380340576,151200
1998-11-24,11.4375,11.4375,11.1875,11.3125,7.576582908630371,33400
1998-11-25,11.375,12.625,11.1875,12.0,8.037041664123535,66200
1998-11-27,11.875,13.25,11.875,12.9375,8.664934158325195,203200
1998-11-30,13.25,13.625,12.875,13.4375,8.999812126159668,265900
1998-12-01,13.25,13.5,12.625,13.3125,8.916091918945312,73100
1998-12-02,13.125,13.75,12.9375,13.3125,8.916091918945312,142400
1998-12-03,13.5,13.625,13.25,13.625,9.125389099121094,100000
1998-12-04,14.375,16.625,13.9375,16.375,10.967209815979004,377200
1998-12-07,16.5,16.75,15.5,15.6875,10.506756782531738,193400
1998-12-08,15.875,15.9375,14.875,15.1875,10.171882629394531,140300
1998-12-09,14.75,19.375,14.75,17.625,11.804404258728027,412500
1998-12-10,17.75,17.875,16.625,16.9375,11.343947410583496,200200
1998-12-11,16.5,16.625,15.125,15.9375,10.674196243286133,227800
1998-12-14,16.0,16.25,15.25,15.25,10.213738441467285,84400
1998-12-15,16.125,16.375,15.0,15.96875,10.695123672485352,276900
1998-12-16,15.9375,17.0,15.75,16.875,11.302087783813477,226900
1998-12-17,17.125,17.25,16.75,17.0625,11.427667617797852,222700
1998-12-18,17.25,17.25,16.875,17.0,11.385807991027832,47500
1998-12-21,17.125,19.0,16.875,18.5,12.390436172485352,145100
1998-12-22,18.8125,18.8125,17.75,17.90625,11.992770195007324,652100
1998-12-23,18.375,18.75,17.75,18.5,12.390436172485352,340000
1998-12-24,18.375,18.75,17.875,18.0,12.055560111999512,27100
1998-12-28,18.1875,20.0,17.875,20.0,13.39506721496582,139100
1998-12-29,20.125,20.875,18.5,20.875,13.98110294342041,103600
1998-12-30,20.625,21.25,20.25,20.875,13.98110294342041,28700
1998-12-31,21.0625,23.5,20.875,23.5,15.73920726776123,96100
1999-01-04,23.0,23.5,20.0,21.0625,14.106679916381836,199200
1999-01-05,20.5625,20.6875,19.8125,19.9375,13.353205680847168,116900
1999-01-06,19.875,22.0,19.875,20.75,13.897381782531738,160300
1999-01-07,21.0,23.25,20.25,22.5,15.069450378417969,211200
1999-01-08,23.25,23.5,22.375,22.40625,15.006662368774414,94600
1999-01-11,22.5,22.5,21.75,21.875,14.650856018066406,37200
1999-01-12,22.0625,22.0625,20.25,21.0,14.0648193359375,79800
1999-01-13,19.75,20.875,19.25,20.25,13.562504768371582,113400
1999-01-14,20.5,21.25,20.25,20.9375,14.022966384887695,212300
1999-01-15,20.625,21.75,20.625,21.75,14.567134857177734,42700
1999-01-19,21.75,22.875,21.125,22.125,14.818291664123535,178900
1999-01-20,22.25,22.9375,22.25,22.75,15.236886978149414,104800
1999-01-21,22.4375,22.5,21.5,21.5,14.399700164794922,128100
1999-01-22,21.125,21.25,19.875,20.0,13.39506721496582,72800
1999-01-25,20.0,21.625,19.5,21.625,14.483418464660645,70400
1999-01-26,21.875,22.75,21.0,21.5,14.399700164794922,123800
1999-01-27,21.75,22.25,20.75,21.5625,14.441555976867676,15000
1999-01-28,21.625,22.0,21.0,21.375,14.315979957580566,31000
1999-01-29,21.625,21.75,21.375,21.625,14.483418464660645,51900
1999-02-01,21.625,21.75,21.375,21.5625,14.441555976867676,73100
1999-02-02,21.5625,22.0,21.5625,21.875,14.650856018066406,13300
1999-02-03,22.25,22.25,21.5,21.625,14.483418464660645,9800
1999-02-04,21.375,21.75,21.375,21.75,14.567134857177734,28800
1999-02-05,21.75,22.0,21.375,21.75,14.567134857177734,25400
1999-02-08,21.875,23.125,21.25,21.75,14.567134857177734,193600
1999-02-09,21.5,21.75,21.0,21.125,14.148537635803223,23800
1999-02-10,21.125,21.5,20.75,21.0,14.0648193359375,5400
1999-02-11,21.375,21.5,19.5,19.6875,13.185771942138672,96500
1999-02-12,19.6875,19.6875,18.125,18.75,12.557875633239746,85500
1999-02-16,19.375,19.375,18.0,19.0,12.725311279296875,78800
1999-02-17,19.125,19.125,17.5,18.375,12.306719779968262,28400
1999-02-18,18.375,19.0625,18.0,18.75,12.557875633239746,32400
1999-02-19,18.75,19.0,18.625,18.625,12.47415542602539,122500
1999-02-22,19.125,19.125,18.9375,18.9375,12.683452606201172,97000
1999-02-23,19.125,19.125,18.75,18.875,12.641596794128418,13100
1999-02-24,18.875,19.125,18.875,18.9375,12.683452606201172,190100
1999-02-25,18.9375,19.125,18.625,19.125,12.809036254882812,17300
1999-02-26,19.0,19.0,17.0,17.0,11.385807991027832,173400
1999-03-01,17.0,17.25,16.625,17.25,11.553244590759277,31700
1999-03-02,17.125,17.25,17.0,17.125,11.469529151916504,131700
1999-03-03,17.125,17.3125,17.0,17.125,11.469529151916504,117400
1999-03-04,17.25,18.125,17.125,18.125,12.139277458190918,247600
1999-03-05,18.375,18.8125,18.25,18.625,12.47415542602539,66100
1999-03-08,18.875,19.0,18.375,18.875,12.641596794128418,378000
1999-03-09,21.0,21.5,19.25,19.375,12.976472854614258,535500
1999-03-10,19.5,19.5,18.0,18.125,12.139277458190918,158000
1999-03-11,18.0,18.5625,17.8125,18.0625,12.097418785095215,508800
1999-03-12,18.0,18.875,17.75,18.5625,12.432299613952637,235200
1999-03-15,18.375,19.9375,18.375,19.9375,13.353205680847168,231800
1999-03-16,20.0,20.0625,19.375,20.0,13.39506721496582,57300
1999-03-17,20.0,20.0625,19.0,19.90625,13.33227825164795,56600
1999-03-18,19.5,19.75,18.75,19.25,12.892752647399902,390700
1999-03-19,19.375,19.375,18.75,18.875,12.641596794128418,44100
1999-03-22,19.25,19.25,18.75,18.9375,12.683452606201172,122100
1999-03-23,18.875,19.0625,18.25,18.25,12.223002433776855,361500
1999-03-24,18.5,18.5,18.125,18.375,12.306719779968262,2900
1999-03-25,18.375,18.5,18.0,18.125,12.139277458190918,197300
1999-03-26,18.0,18.25,18.0,18.0,12.055560111999512,24600
