Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.0625,6.09375,6.03125,6.03125,0.47544124722480774,125200
1980-01-03,6.03125,6.03125,6.0,6.0,0.47297772765159607,214800
1980-01-04,6.0,6.03125,6.0,6.03125,0.47544124722480774,176000
1980-01-07,6.03125,6.0625,6.0,6.0625,0.47790461778640747,146800
1980-01-08,6.0625,6.15625,6.03125,6.125,0.4828314483165741,193200
1980-01-09,6.125,6.1875,6.125,6.15625,0.4852950870990753,239200
1980-01-10,6.15625,6.1875,6.0625,6.125,0.4828314483165741,88800
1980-01-11,6.125,6.15625,6.125,6.125,0.4828314483165741,111200
1980-01-14,6.125,6.15625,6.125,6.125,0.4828314483165741,112000
1980-01-15,6.125,6.15625,6.125,6.15625,0.4852950870990753,88400
1980-01-16,6.15625,6.15625,6.0625,6.125,0.4828314483165741,137200
1980-01-17,6.125,6.15625,6.09375,6.125,0.4828314483165741,191200
1980-01-18,6.125,6.125,6.09375,6.125,0.4828314483165741,91200
1980-01-21,6.125,6.15625,6.0,6.15625,0.4852950870990753,162000
1980-01-22,6.15625,6.15625,6.0625,6.125,0.4828314483165741,64000
1980-01-23,6.125,6.15625,6.09375,6.15625,0.4852950870990753,76000
1980-01-24,6.09375,6.09375,6.03125,6.0625,0.47790461778640747,101200
1980-01-25,6.0625,6.0625,6.03125,6.03125,0.47544124722480774,76800
1980-01-28,6.03125,6.09375,6.03125,6.03125,0.47544124722480774,138800
1980-01-29,6.03125,6.03125,6.0,6.0,0.47297772765159607,266800
1980-01-30,6.0,6.03125,5.96875,6.0,0.47297772765159607,774000
1980-01-31,5.75,5.75,5.59375,5.65625,0.45868492126464844,589600
1980-02-01,5.65625,5.65625,5.59375,5.65625,0.45868492126464844,138400
1980-02-04,5.65625,5.65625,5.53125,5.5625,0.45108264684677124,99600
1980-02-05,5.5625,5.625,5.53125,5.53125,0.4485485553741455,135600
1980-02-06,5.53125,5.5625,5.5,5.5,0.4460141360759735,318800
1980-02-07,5.46875,5.46875,5.40625,5.4375,0.44094565510749817,913600
1980-02-08,5.4375,5.4375,5.40625,5.4375,0.44094565510749817,107200
1980-02-11,5.4375,5.4375,5.375,5.375,0.43587756156921387,90800
1980-02-12,5.375,5.375,5.3125,5.3125,0.43080946803092957,300800
1980-02-13,5.34375,5.46875,5.34375,5.46875,0.44348037242889404,92400
1980-02-14,5.46875,5.46875,5.3125,5.34375,0.43334341049194336,68000
1980-02-15,5.34375,5.34375,5.28125,5.28125,0.42827528715133667,242800
1980-02-19,5.28125,5.28125,5.15625,5.15625,0.4181383550167084,124400
1980-02-20,5.15625,5.1875,5.0625,5.0625,0.4105357825756073,144400
1980-02-21,5.0625,5.09375,5.0,5.0625,0.4105357825756073,240400
1980-02-22,5.0625,5.125,5.03125,5.09375,0.41307002305984497,243200
1980-02-25,5.09375,5.15625,5.0625,5.0625,0.4105357825756073,206800
1980-02-26,5.0625,5.09375,5.0625,5.0625,0.4105357825756073,77600
1980-02-27,5.0625,5.125,5.0625,5.0625,0.4105357825756073,165600
1980-02-28,5.0625,5.09375,5.0625,5.0625,0.4105357825756073,132000
1980-02-29,5.0625,5.3125,5.0625,5.3125,0.43080946803092957,170400
1980-03-03,5.3125,5.375,5.15625,5.21875,0.42320695519447327,95600
1980-03-04,5.21875,5.25,5.15625,5.21875,0.42320695519447327,140000
1980-03-05,5.21875,5.25,5.1875,5.1875,0.4206725060939789,86800
1980-03-06,5.1875,5.1875,4.90625,5.0,0.4054677188396454,414800
1980-03-07,5.0,5.03125,4.96875,5.03125,0.40800175070762634,125600
1980-03-10,5.03125,5.125,5.0,5.0625,0.4105357825756073,153600
1980-03-11,5.0625,5.21875,5.03125,5.21875,0.42320695519447327,178000
1980-03-12,5.21875,5.25,5.125,5.125,0.4156041145324707,203600
1980-03-13,5.125,5.15625,5.09375,5.125,0.4156041145324707,194000
1980-03-14,5.125,5.15625,5.09375,5.15625,0.4181383550167084,168400
1980-03-17,5.15625,5.15625,5.125,5.125,0.4156041145324707,172400
1980-03-18,5.15625,5.21875,5.15625,5.1875,0.4206725060939789,283200
1980-03-19,5.25,5.3125,5.25,5.3125,0.43080946803092957,198400
1980-03-20,5.3125,5.4375,5.25,5.40625,0.4384117126464844,97600
1980-03-21,5.40625,5.4375,5.34375,5.375,0.43587756156921387,180800
1980-03-24,5.375,5.40625,5.1875,5.21875,0.42320695519447327,191200
1980-03-25,5.21875,5.28125,5.15625,5.28125,0.42827528715133667,240000
1980-03-26,5.28125,5.34375,5.21875,5.21875,0.42320695519447327,158800
1980-03-27,5.21875,5.21875,5.09375,5.09375,0.41307002305984497,202400
1980-03-28,5.125,5.28125,5.125,5.28125,0.42827528715133667,248000
1980-03-31,5.28125,5.34375,5.25,5.34375,0.43334341049194336,125600
1980-04-01,5.34375,5.40625,5.34375,5.40625,0.4384117126464844,114800
1980-04-02,5.40625,5.5,5.34375,5.5,0.4460141360759735,217600
1980-04-03,5.5,5.5625,5.46875,5.5,0.4460141360759735,164400
1980-04-07,5.5,5.5625,5.46875,5.53125,0.4485485553741455,151200
1980-04-08,5.53125,5.59375,5.53125,5.59375,0.45361658930778503,200400
1980-04-09,5.625,5.75,5.625,5.75,0.4662878215312958,263600
1980-04-10,5.78125,5.84375,5.78125,5.8125,0.4713558554649353,228400
1980-04-11,5.8125,5.90625,5.8125,5.875,0.47642427682876587,552800
1980-04-14,5.875,5.96875,5.84375,5.84375,0.47389018535614014,185200
1980-04-15,5.84375,5.9375,5.84375,5.90625,0.4789583683013916,80400
1980-04-16,5.9375,6.09375,5.9375,5.9375,0.4814927577972412,923600
1980-04-17,5.9375,6.0,5.90625,5.96875,0.484026700258255,171200
1980-04-18,5.96875,6.0625,5.96875,6.03125,0.48909494280815125,346800
1980-04-21,6.03125,6.03125,5.90625,5.90625,0.4789583683013916,206000
1980-04-22,5.90625,5.96875,5.90625,5.9375,0.4814927577972412,210000
1980-04-23,5.9375,6.03125,5.90625,6.0,0.4865609407424927,753600
1980-04-24,6.0,6.125,6.0,6.09375,0.4941636025905609,538800
1980-04-25,6.09375,6.09375,6.03125,6.0625,0.49162957072257996,184800
1980-04-28,6.09375,6.1875,6.09375,6.125,0.4966975152492523,304400
1980-04-29,6.125,6.1875,6.09375,6.09375,0.4941636025905609,1065200
1980-04-30,6.09375,6.15625,6.0625,6.09375,0.4941636025905609,771600
1980-05-01,5.9375,5.9375,5.875,5.90625,0.4924958348274231,222400
1980-05-02,5.90625,5.96875,5.90625,5.90625,0.4924958348274231,614400
1980-05-05,5.9375,6.0,5.9375,6.0,0.5003131031990051,116800
1980-05-06,6.0,6.03125,5.96875,6.03125,0.5029189586639404,155200
1980-05-07,6.03125,6.09375,6.0,6.09375,0.5081304907798767,353200
1980-05-08,6.09375,6.09375,6.03125,6.09375,0.5081304907798767,168000
1980-05-09,6.0625,6.0625,6.03125,6.03125,0.5029189586639404,221200
1980-05-12,6.03125,6.0625,6.0,6.03125,0.5029189586639404,78000
1980-05-13,6.03125,6.09375,6.03125,6.09375,0.5081304907798767,162000
1980-05-14,6.09375,6.09375,6.03125,6.0625,0.5055249333381653,121200
1980-05-15,6.0625,6.125,6.0,6.125,0.5107362270355225,268400
1980-05-16,6.125,6.15625,6.125,6.15625,0.513342022895813,124000
1980-05-19,6.125,6.125,6.0625,6.09375,0.5081304907798767,173200
1980-05-20,6.09375,6.15625,6.09375,6.125,0.5107362270355225,132400
1980-05-21,6.125,6.15625,6.125,6.15625,0.513342022895813,660000
