Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,0.0,3.054687976837158,2.945312976837158,2.945312976837158,1.6125938892364502,136000
1980-01-03,0.0,2.921875,2.882812976837158,2.921875,1.599760890007019,281600
1980-01-04,0.0,2.96875,2.9375,2.945312976837158,1.6125938892364502,70400
1980-01-07,0.0,2.9375,2.929687976837158,2.9375,1.60831618309021,155200
1980-01-08,0.0,3.007812976837158,2.953125,3.0,1.6425355672836304,262400
1980-01-09,0.0,3.1875,3.117187976837158,3.148437976837158,1.7238067388534546,353600
1980-01-10,0.0,3.398437976837158,3.25,3.375,1.8478524684906006,497600
1980-01-11,0.0,3.421875,3.351562976837158,3.367187976837158,1.8435742855072021,521600
1980-01-14,0.0,3.429687976837158,3.375,3.390625,1.8564070463180542,366400
1980-01-15,0.0,3.4375,3.34375,3.359375,1.8392983675003052,182400
1980-01-16,0.0,3.40625,3.320312976837158,3.320312976837158,1.81791090965271,224000
1980-01-17,0.0,3.3125,3.125,3.140625,1.7195299863815308,592000
1980-01-18,0.0,3.125,3.0625,3.109375,1.7024192810058594,430400
1980-01-21,0.0,3.171875,3.109375,3.164062976837158,1.732362151145935,340800
1980-01-22,0.0,3.273437976837158,3.210937976837158,3.242187976837158,1.7751356363296509,324800
1980-01-23,0.0,3.484375,3.273437976837158,3.453125,1.8906269073486328,316800
1980-01-24,0.0,3.460937976837158,3.429687976837158,3.453125,1.8906269073486328,206400
1980-01-25,0.0,3.46875,3.3125,3.328125,1.8221875429153442,406400
1980-01-28,0.0,3.34375,3.296875,3.34375,1.8307428359985352,209600
1980-01-29,0.0,3.46875,3.398437976837158,3.398437976837158,1.8606853485107422,504000
1980-01-30,0.0,3.421875,3.390625,3.40625,1.8649613857269287,230400
1980-01-31,0.0,3.460937976837158,3.382812976837158,3.390625,1.8564070463180542,187200
1980-02-01,0.0,3.367187976837158,3.320312976837158,3.335937976837158,1.8264656066894531,257600
1980-02-04,0.0,3.390625,3.21875,3.21875,1.7623038291931152,123200
1980-02-05,0.0,3.25,3.203125,3.25,1.7794129848480225,116000
1980-02-06,0.0,3.34375,3.25,3.265625,1.7879679203033447,192800
1980-02-07,0.0,3.65625,3.375,3.5625,1.950510859489441,315200
1980-02-08,0.0,4.046875,3.703125,3.984375,2.1814913749694824,839200
1980-02-11,0.0,4.046875,3.890625,3.890625,2.1301629543304443,649600
1980-02-12,0.0,3.890625,3.703125,3.796875,2.078834056854248,349600
1980-02-13,0.0,3.859375,3.671875,3.703125,2.0275049209594727,244000
1980-02-14,0.0,3.78125,3.546875,3.578125,1.9590657949447632,155200
1980-02-15,0.0,3.71875,3.578125,3.671875,2.0103957653045654,176800
1980-02-19,0.0,3.71875,3.609375,3.671875,2.0103957653045654,127200
1980-02-20,0.0,3.640625,3.5625,3.609375,1.9761754274368286,200000
1980-02-21,0.0,3.640625,3.53125,3.53125,1.9334007501602173,212000
1980-02-22,0.0,3.515625,3.4375,3.515625,1.924845814704895,250400
1980-02-25,0.0,3.53125,3.375,3.375,1.8478524684906006,181600
1980-02-26,0.0,3.421875,3.34375,3.390625,1.8564070463180542,145600
1980-02-27,0.0,3.46875,3.375,3.40625,1.8649613857269287,122400
1980-02-28,0.0,3.453125,3.390625,3.40625,1.8649613857269287,208800
1980-02-29,0.0,3.4375,3.40625,3.4375,1.8820725679397583,109600
1980-03-03,0.0,3.5,3.421875,3.421875,1.8735167980194092,116800
1980-03-04,0.0,3.375,3.21875,3.28125,1.7965221405029297,326400
1980-03-05,3.28125,3.28125,3.28125,3.28125,1.7965221405029297,0
1980-03-06,0.0,3.15625,3.0,3.0,1.6425355672836304,436800
1980-03-07,0.0,3.0,2.8125,2.875,1.5740962028503418,311200
1980-03-10,0.0,3.15625,2.8125,3.125,1.710974931716919,375200
1980-03-11,0.0,3.171875,3.09375,3.171875,1.7366379499435425,304800
1980-03-12,0.0,3.1875,3.125,3.125,1.710974931716919,134400
1980-03-13,0.0,3.15625,3.09375,3.15625,1.7280827760696411,228000
1980-03-14,0.0,3.21875,3.125,3.125,1.710974931716919,73600
1980-03-17,0.0,3.171875,3.09375,3.109375,1.7024192810058594,98400
1980-03-18,0.0,3.125,3.03125,3.125,1.710974931716919,238400
1980-03-19,0.0,3.40625,3.21875,3.375,1.8478524684906006,280800
1980-03-20,0.0,3.453125,3.28125,3.359375,1.8392983675003052,230400
1980-03-21,0.0,3.421875,3.296875,3.296875,1.8050776720046997,90400
1980-03-24,0.0,3.375,3.171875,3.1875,1.7451931238174438,168800
1980-03-25,0.0,3.3125,3.234375,3.296875,1.8050776720046997,326400
1980-03-26,0.0,3.4375,3.34375,3.34375,1.8307428359985352,264000
1980-03-27,0.0,3.34375,2.9375,3.0625,1.676755428314209,414400
1980-03-28,0.0,3.21875,3.09375,3.21875,1.7623038291931152,171200
1980-03-31,0.0,3.3125,3.15625,3.171875,1.7366379499435425,152000
1980-04-01,0.0,3.28125,3.171875,3.28125,1.7965221405029297,215200
1980-04-02,0.0,3.40625,3.3125,3.375,1.8478524684906006,167200
1980-04-03,0.0,3.46875,3.40625,3.46875,1.899179458618164,178400
1980-04-07,0.0,3.4375,3.3125,3.3125,1.8136324882507324,240800
1980-04-08,0.0,3.3125,3.25,3.3125,1.8136324882507324,165600
1980-04-09,0.0,3.4375,3.3125,3.4375,1.8820725679397583,120000
1980-04-10,0.0,3.5625,3.421875,3.515625,1.924845814704895,350400
1980-04-11,0.0,3.59375,3.5,3.5,1.91629159450531,100000
1980-04-14,0.0,3.5625,3.453125,3.5,1.91629159450531,104000
1980-04-15,0.0,3.5,3.421875,3.421875,1.8735167980194092,53600
1980-04-16,0.0,3.453125,3.34375,3.34375,1.8307428359985352,113600
