Date,Open,High,Low,Close,Adj Close,Volume
1992-06-01,1.8125,2.0625,1.8125,2.0625,1.5192722082138062,3012000
1992-06-02,2.0625,2.125,2.0,2.09375,1.5422914028167725,1220800
1992-06-03,2.125,2.4375,2.0625,2.4375,1.7955052852630615,1423200
1992-06-04,2.5625,2.5625,2.375,2.4375,1.7955052852630615,883200
1992-06-05,2.4375,2.4375,2.125,2.3125,1.7034269571304321,413600
1992-06-08,2.3125,2.3125,2.1875,2.3125,1.7034269571304321,307200
1992-06-09,2.3125,2.3125,1.9375,2.0,1.4732338190078735,175200
1992-06-10,2.0,2.1875,2.0,2.1875,1.6113498210906982,70400
1992-06-11,2.1875,2.1875,2.0625,2.1875,1.6113498210906982,120800
1992-06-12,2.25,2.3125,2.1875,2.3125,1.7034269571304321,151600
1992-06-15,2.3125,2.375,2.25,2.375,1.749464750289917,238800
1992-06-16,2.375,2.375,2.21875,2.3125,1.7034269571304321,165200
1992-06-17,2.125,2.25,1.9375,2.0,1.4732338190078735,322800
1992-06-18,2.0625,2.125,1.9375,1.96875,1.450215220451355,112000
1992-06-19,2.0625,2.125,2.0625,2.125,1.5653116703033447,26800
1992-06-22,2.125,2.125,1.9375,2.0,1.4732338190078735,94800
1992-06-23,2.125,2.125,2.0625,2.125,1.5653116703033447,63200
1992-06-24,2.125,2.125,2.0,2.0,1.4732338190078735,549600
1992-06-25,2.1875,2.1875,2.0625,2.125,1.5653116703033447,110800
1992-06-26,2.1875,2.1875,2.0625,2.1875,1.6113498210906982,20000
1992-06-29,2.1875,2.3125,2.125,2.3125,1.7034269571304321,59600
1992-06-30,2.3125,2.3125,2.21875,2.3125,1.7034269571304321,26800
1992-07-01,2.3125,2.4375,2.25,2.3125,1.7034269571304321,644800
1992-07-02,2.4375,2.4375,1.96875,2.0625,1.5192722082138062,1184400
1992-07-06,2.125,2.125,2.0,2.125,1.5653116703033447,66400
1992-07-07,2.125,2.125,1.9375,1.9375,1.4271953105926514,70000
1992-07-08,2.0,2.0,1.875,2.0,1.4732338190078735,523200
1992-07-09,2.0625,2.0625,2.0,2.0625,1.5192722082138062,15600
1992-07-10,2.0625,2.1875,2.0625,2.1875,1.6113498210906982,27200
1992-07-13,2.1875,2.1875,2.125,2.1875,1.6113498210906982,42000
1992-07-14,2.125,2.1875,2.0625,2.1875,1.6113498210906982,122000
1992-07-15,2.1875,2.375,2.125,2.1875,1.6113498210906982,91200
1992-07-16,2.375,2.375,2.1875,2.1875,1.6113498210906982,23600
1992-07-17,2.1875,2.375,2.1875,2.3125,1.7034269571304321,44000
1992-07-20,2.25,2.3125,2.1875,2.3125,1.7034269571304321,47200
1992-07-21,2.375,2.5,2.25,2.4375,1.7955052852630615,382800
1992-07-22,2.4375,2.4375,2.25,2.25,1.6573883295059204,113200
1992-07-23,2.1875,2.3125,2.1875,2.21875,1.634368658065796,56400
1992-07-24,2.25,2.25,2.125,2.25,1.6573883295059204,82000
1992-07-27,2.25,2.3125,2.1875,2.1875,1.6113498210906982,38800
1992-07-28,2.25,2.4375,2.25,2.4375,1.7955052852630615,144000
1992-07-29,2.4375,2.5625,2.3125,2.5,1.8415426015853882,251200
1992-07-30,2.5625,2.625,2.375,2.5625,1.8875813484191895,152000
1992-07-31,2.625,2.625,2.5,2.5625,1.8875813484191895,216800
1992-08-03,2.5625,2.625,2.5,2.625,1.9336204528808594,206400
1992-08-04,2.5,2.625,2.5,2.5,1.8415426015853882,29600
1992-08-05,2.5,2.75,2.5,2.6875,1.9796580076217651,188000
1992-08-06,2.6875,2.6875,2.625,2.625,1.9336204528808594,86000
1992-08-07,2.6875,2.75,2.5625,2.65625,1.9566395282745361,72400
1992-08-10,2.6875,2.6875,2.6875,2.6875,1.9796580076217651,10400
1992-08-11,2.6875,2.75,2.5625,2.625,1.9336204528808594,67600
1992-08-12,2.6875,2.6875,2.5625,2.5625,1.8875813484191895,65200
1992-08-13,2.5625,2.625,2.5625,2.625,1.9336204528808594,36400
1992-08-14,2.625,2.625,2.5625,2.5625,1.8875813484191895,6400
