raw_symbol,instrument_id,date
SPY,7177,2018-05-01
SPY,7180,2018-05-02
SPY,7184,2018-05-03
SPY,7189,2018-05-04
SPY,7189,2018-05-05
SPY,7189,2018-05-06
SPY,7188,2018-05-07
SPY,7188,2018-05-08
SPY,7189,2018-05-09
SPY,7189,2018-05-10
SPY,7190,2018-05-11
SPY,7190,2018-05-12
SPY,7190,2018-05-13
SPY,7181,2018-05-14
SPY,7182,2018-05-15
SPY,7185,2018-05-16
SPY,7191,2018-05-17
SPY,7191,2018-05-18
SPY,7191,2018-05-19
SPY,7191,2018-05-20
SPY,7189,2018-05-21
SPY,7186,2018-05-22
SPY,7187,2018-05-23
SPY,7196,2018-05-24
SPY,7196,2018-05-25
SPY,7196,2018-05-26
SPY,7196,2018-05-27
SPY,7196,2018-05-28
SPY,7193,2018-05-29
SPY,7191,2018-05-30
SPY,7192,2018-05-31
SPY,7193,2018-06-01
SPY,7193,2018-06-02
SPY,7193,2018-06-03
SPY,7188,2018-06-04
SPY,7188,2018-06-05
SPY,7186,2018-06-06
SPY,7180,2018-06-07
SPY,7183,2018-06-08
SPY,7183,2018-06-09
SPY,7183,2018-06-10
SPY,7180,2018-06-11
SPY,7180,2018-06-12
SPY,7182,2018-06-13
SPY,7186,2018-06-14
SPY,7187,2018-06-15
SPY,7187,2018-06-16
SPY,7187,2018-06-17
SPY,7191,2018-06-18
SPY,7191,2018-06-19
SPY,7192,2018-06-20
SPY,7200,2018-06-21
SPY,7205,2018-06-22
SPY,7205,2018-06-23
SPY,7205,2018-06-24
SPY,7205,2018-06-25
SPY,7204,2018-06-26
SPY,7211,2018-06-27
SPY,7219,2018-06-28
SPY,7220,2018-06-29
SPY,7220,2018-06-30
SPY,7220,2018-07-01
SPY,7214,2018-07-02
SPY,7215,2018-07-03
SPY,7215,2018-07-04
SPY,7216,2018-07-05
SPY,7217,2018-07-06
SPY,7217,2018-07-07
SPY,7217,2018-07-08
SPY,7215,2018-07-09
SPY,7216,2018-07-10
SPY,7218,2018-07-11
SPY,7220,2018-07-12
SPY,7222,2018-07-13
SPY,7222,2018-07-14
SPY,7222,2018-07-15
SPY,7222,2018-07-16
SPY,7222,2018-07-17
SPY,7227,2018-07-18
SPY,7232,2018-07-19
