ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
1525161600000000000,34,2,7177,264570000000,264570000000,264100000000,264130000000,10545,SPY
1525165200000000000,34,2,7177,264080000000,264280000000,264030000000,264280000000,5986,SPY
1525168800000000000,34,2,7177,264300000000,264550000000,264070000000,264400000000,18375,SPY
1525172400000000000,34,2,7177,264460000000,264730000000,264310000000,264340000000,21170,SPY
1525176000000000000,34,2,7177,264380000000,264480000000,264170000000,264380000000,59881,SPY
1525179600000000000,34,2,7177,264370000000,264370000000,263370000000,263920000000,1352572,SPY
1525183200000000000,34,2,7177,263910000000,263980000000,262930000000,262960000000,1834213,SPY
1525186800000000000,34,2,7177,262960000000,263240000000,262450000000,262590000000,1388201,SPY
1525190400000000000,34,2,7177,262590000000,263190000000,262550000000,262850000000,981501,SPY
1525194000000000000,34,2,7177,262850000000,263680000000,262110000000,263670000000,1403758,SPY
1525197600000000000,34,2,7177,263680000000,264630000000,263620000000,264340000000,1402627,SPY
1525201200000000000,34,2,7177,264330000000,265100000000,263760000000,265000000000,2930361,SPY
1525204800000000000,34,2,7177,265000000000,265520000000,264830000000,265320000000,718813,SPY
1525208400000000000,34,2,7177,265250000000,265290000000,264970000000,265200000000,26234,SPY
1525212000000000000,34,2,7177,265340000000,265400000000,265320000000,265320000000,6182,SPY
1525215600000000000,34,2,7177,265400000000,265440000000,265160000000,265380000000,6567,SPY
1525248000000000000,34,2,7180,265270000000,265400000000,265270000000,265330000000,4925,SPY
1525251600000000000,34,2,7180,265650000000,265650000000,265500000000,265500000000,2400,SPY
1525255200000000000,34,2,7180,265330000000,265400000000,264950000000,265400000000,9922,SPY
1525258800000000000,34,2,7180,265330000000,265580000000,265070000000,265070000000,23690,SPY
1525262400000000000,34,2,7180,265060000000,265280000000,264690000000,264830000000,54039,SPY
1525266000000000000,34,2,7180,264810000000,264930000000,264090000000,264160000000,1029940,SPY
1525269600000000000,34,2,7180,264140000000,264760000000,264070000000,264500000000,1545280,SPY
1525273200000000000,34,2,7180,264490000000,264900000000,263870000000,264180000000,1113574,SPY
1525276800000000000,34,2,7180,264170000000,264660000000,264010000000,264510000000,634080,SPY
1525280400000000000,34,2,7180,264510000000,264990000000,264510000000,264810000000,486764,SPY
1525284000000000000,34,2,7180,264820000000,265680000000,264390000000,264540000000,2098888,SPY
1525287600000000000,34,2,7180,264550000000,264830000000,262760000000,263200000000,4393821,SPY
1525291200000000000,34,2,7180,263200000000,263210000000,262360000000,262480000000,941905,SPY
1525294800000000000,34,2,7180,262460000000,262600000000,262440000000,262550000000,38245,SPY
1525298400000000000,34,2,7180,262560000000,262910000000,262420000000,262820000000,25975,SPY
1525302000000000000,34,2,7180,262720000000,262840000000,262700000000,262710000000,6012,SPY
