,Date,Prob,Label,,ALL TRUE,TN
0,6/26/20,0.49692717,1,-1,0,0
1,1/22/21,0.5006308,-1,1,0,0
2,1/4/19,0.5276663,1,1,1,0
3,6/12/23,0.52582,-1,1,0,0
4,9/1/17,0.5284376,1,1,1,0
5,6/29/23,0.47653213,-1,-1,1,1
6,7/14/15,0.5248992,1,1,1,0
7,3/15/22,0.45790544,1,-1,0,0
8,8/19/19,0.536971,-1,1,0,0
9,3/18/24,0.49222752,1,-1,0,0
10,1/8/24,0.5140849,-1,1,0,0
11,10/26/22,0.5162505,-1,1,0,0
12,12/16/22,0.47773716,1,-1,0,0
13,4/2/18,0.51192063,1,1,1,0
14,10/26/21,0.54209834,1,1,1,0
15,11/12/19,0.5014624,1,1,1,0
16,9/3/21,0.4934005,-1,-1,1,1
17,1/20/17,0.48193136,1,-1,0,0
18,3/14/16,0.4896118,1,-1,0,0
19,5/6/21,0.40283677,-1,-1,1,1
20,5/4/18,0.53399473,1,1,1,0
21,2/28/23,0.4527226,1,-1,0,0
22,5/22/20,0.5130959,1,1,1,0
23,7/13/18,0.47400737,1,-1,0,0
24,2/7/18,0.51343626,1,1,1,0
25,2/10/20,0.52478945,1,1,1,0
26,10/11/23,0.50382555,-1,1,0,0
27,7/18/23,0.52805597,1,1,1,0
28,2/25/16,0.53049785,1,1,1,0
29,8/16/17,0.49371946,1,-1,0,0
30,10/23/15,0.4852396,1,-1,0,0
31,2/12/24,0.48459098,1,-1,0,0
32,5/24/21,0.52123505,1,1,1,0
33,5/23/19,0.5105546,-1,1,0,0
34,8/18/21,0.47751445,1,-1,0,0
35,11/29/19,0.510117,1,1,1,0
36,10/6/16,0.5746155,-1,1,0,0
37,8/18/22,0.5209503,-1,1,0,0
38,1/23/20,0.5134032,-1,1,0,0
39,5/7/19,0.5116613,-1,1,0,0
40,1/21/22,0.52203745,1,1,1,0
41,1/5/23,0.5234609,1,1,1,0
42,5/23/22,0.5292025,1,1,1,0
43,5/4/17,0.5437776,-1,1,0,0
44,5/8/23,0.5214651,-1,1,0,0
